ModelName;EpochBest;EpochsTotal;Sparse;Score
fashionmnist_:edges_sample_0.3-0.3:_no;16;20;edges_sample_0.3-0.3;0.902143
fashionmnist_:edges_sample_0.3-0.3:;14;20;edges_sample_0.3-0.3;0.901442
fashionmnist_:edges_sample_0.3-0.3:_no;17;20;edges_sample_0.3-0.3;0.900341
fashionmnist_:edges_sample_0.3-0.3:;14;20;edges_sample_0.3-0.3;0.898938
fashionmnist_:edges_random_0.3-0.3:_no;16;20;edges_random_0.3-0.3;0.903746
fashionmnist_:edges_random_0.3-0.3:;14;20;edges_random_0.3-0.3;0.898638
fashionmnist_:edges_random_0.3-0.3:_no;13;20;edges_random_0.3-0.3;0.904347
fashionmnist_:edges_random_0.3-0.3:;20;20;edges_random_0.3-0.3;0.896635
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;19;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.898438
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.647236
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;14;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.905248
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;16;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.895333
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;18;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.907853
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;15;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.898237
fashionmnist_:edges_random_0.0-0.3:_no;12;20;edges_random_0.0-0.3;0.905148
fashionmnist_:edges_random_0.0-0.3:;18;20;edges_random_0.0-0.3;0.897837
fashionmnist_:nodes_topk_0.0-0.3:_no;16;20;nodes_topk_0.0-0.3;0.899339
fashionmnist_:nodes_topk_0.0-0.3:;14;20;nodes_topk_0.0-0.3;0.896234
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;16;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.903446
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;20;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.55649
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;18;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.905749
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;18;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.563502
fashionmnist_:edges_random_0.0-0.6:_no;13;20;edges_random_0.0-0.6;0.903946
fashionmnist_:edges_random_0.0-0.6:;12;20;edges_random_0.0-0.6;0.895433
fashionmnist_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:_no;20;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.90024
fashionmnist_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:;15;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.786959
fashionmnist_:nodes_topk_0.0-0.6:_no;15;20;nodes_topk_0.0-0.6;0.905349
fashionmnist_:nodes_topk_0.0-0.6:;15;20;nodes_topk_0.0-0.6;0.900441
fashionmnist_loss_01_no;18;20;nodes_topk_0.0-0.6;0.899639
fashionmnist_loss_01;17;20;nodes_topk_0.0-0.6;0.895533
fashionmnist_:edges_random_0.0-0.3:_no;14;20;edges_random_0.0-0.3;0.897035
fashionmnist_:edges_random_0.0-0.3:;14;20;edges_random_0.0-0.3;0.896134
fashionmnist_:edges_random_0.0-0.3:_no;16;20;edges_random_0.0-0.3;0.901142
fashionmnist_:edges_random_0.0-0.3:;14;20;edges_random_0.0-0.3;0.904848
fashionmnist_loss_001_no;16;20;nodes_topk_0.0-0.6;0.903345
fashionmnist_loss_001;16;20;nodes_topk_0.0-0.6;0.902644
fashionmnist_:nodes_topk_0.0-0.3:_no;13;20;nodes_topk_0.0-0.3;0.902244
fashionmnist_:nodes_topk_0.0-0.3:;12;20;nodes_topk_0.0-0.3;0.904147
fashionmnist_:nodes_topk_0.0-0.3:_no;14;20;nodes_topk_0.0-0.3;0.902744
fashionmnist_:nodes_topk_0.0-0.3:;19;20;nodes_topk_0.0-0.3;0.900341
mnist_:none:;14;20;none;0.992288
fashionmnist_:edges_random_0.0-0.6:_no;18;20;edges_random_0.0-0.6;0.907252
fashionmnist_:edges_random_0.0-0.6:;18;20;edges_random_0.0-0.6;0.897236
fashionmnist_:edges_random_0.0-0.6:_no;16;20;edges_random_0.0-0.6;0.906651
fashionmnist_:edges_random_0.0-0.6:;14;20;edges_random_0.0-0.6;0.894331
mnist_:nodes_topk_0.3-0.3:_no;20;20;nodes_topk_0.3-0.3;0.992989
mnist_:nodes_topk_0.3-0.3:;20;20;nodes_topk_0.3-0.3;0.993389
fashionmnist_:nodes_topk_0.0-0.6:_no;17;20;nodes_topk_0.0-0.6;0.903646
fashionmnist_:nodes_topk_0.0-0.6:;17;20;nodes_topk_0.0-0.6;0.900341
fashionmnist_:nodes_topk_0.0-0.6:_no;14;20;nodes_topk_0.0-0.6;0.905649
fashionmnist_:nodes_topk_0.0-0.6:;19;20;nodes_topk_0.0-0.6;0.898237
mnist_:nodes_sample_0.3-0.3:_no;14;20;nodes_sample_0.3-0.3;0.993289
mnist_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.853165
fashionmnist_loss_01_no;20;20;nodes_topk_0.0-0.6;0.898838
fashionmnist_loss_01;20;20;nodes_topk_0.0-0.6;0.897536
