ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:edges_sample_0.3-0.3:;11;20;edges_sample_0.3-0.3;0.647937
cifar10_:nodes_sample_0.3-0.3:_no;19;20;nodes_sample_0.3-0.3;0.665865
cifar10_:nodes_sample_0.3-0.3:;19;20;nodes_sample_0.3-0.3;0.519331
cifar10_:edges_random_0.3-0.3:_no;16;20;edges_random_0.3-0.3;0.665064
cifar10_:edges_random_0.3-0.3:;16;20;edges_random_0.3-0.3;0.643229
cifar10_:nodes_random_0.3-0.3:_no;20;20;nodes_random_0.3-0.3;0.663662
cifar10_:nodes_random_0.3-0.3:;13;20;nodes_random_0.3-0.3;0.382111
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;19;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.663361
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;14;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.633814
cifar10_:edges_topk_0.3-0.3:_no;9;20;edges_topk_0.3-0.3;0.632412
cifar10_:edges_topk_0.3-0.3:;9;20;edges_topk_0.3-0.3;0.637019
cifar10_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;20;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.670473
cifar10_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;20;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.441907
cifar10_:edges_sample_0.3-0.3:_no;14;20;edges_sample_0.3-0.3;0.645933
cifar10_:edges_sample_0.3-0.3:;16;20;edges_sample_0.3-0.3;0.6249
cifar10_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.538862
cifar10_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.359876
cifar10_:edges_random_0.3-0.3:_no;18;20;edges_random_0.3-0.3;0.658954
cifar10_:edges_random_0.3-0.3:;17;20;edges_random_0.3-0.3;0.626502
cifar10_:edges_random_0.0-0.3:_no;10;20;edges_random_0.0-0.3;0.660857
cifar10_:edges_random_0.0-0.3:;10;20;edges_random_0.0-0.3;0.646134
cifar10_:nodes_topk_0.0-0.3:_no;11;20;nodes_topk_0.0-0.3;0.653946
cifar10_:nodes_topk_0.0-0.3:;11;20;nodes_topk_0.0-0.3;0.646735
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;17;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.663361
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;17;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.630409
cifar10_:edges_random_0.0-0.6:_no;15;20;edges_random_0.0-0.6;0.666066
cifar10_:edges_random_0.0-0.6:;14;20;edges_random_0.0-0.6;0.642528
cifar10_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;18;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.660557
cifar10_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;17;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.441106
cifar10_:nodes_topk_0.0-0.6:_no;19;20;nodes_topk_0.0-0.6;0.67528
cifar10_:nodes_topk_0.0-0.6:;14;20;nodes_topk_0.0-0.6;0.651843
cifar10_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:_no;20;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.629708
cifar10_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:;20;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.516827
cifar10_loss_01_no;18;20;nodes_topk_0.0-0.6;0.654247
cifar10_loss_01;10;20;nodes_topk_0.0-0.6;0.638822
cifar10_loss_001_no;14;20;nodes_topk_0.0-0.6;0.669671
cifar10_loss_001;14;20;nodes_topk_0.0-0.6;0.654647
cifar10_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.522837
